17:35:30.030 > ets Jul 29 2019 12:21:46
17:35:30.030 > 
17:35:30.030 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
17:35:30.030 > configsip: 0, SPIWP:0xee
17:35:30.030 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
17:35:30.030 > mode:DIO, clock div:2
17:35:30.030 > load:0x3fff0030,len:1184
17:35:30.030 > load:0x40078000,len:12776
17:35:30.030 > load:0x40080400,len:3032
17:35:30.030 > entry 0x400805e4
17:35:37.116 > 204959,5
17:35:37.117 > 204959,5
17:35:37.130 > 204959,5
17:35:37.146 > 204959,5
17:35:37.147 > 204959,5
17:35:37.163 > 204959,5
17:35:37.178 > 204974,0
17:35:37.179 > 204974,0
17:35:37.195 > 204974,0
17:35:37.195 > 204974,0
17:35:37.211 > 204974,0
17:35:37.227 > 204974,0
17:35:37.227 > 204974,0
17:35:37.243 > 204974,0
17:35:37.258 > 204974,0
17:35:37.259 > 204974,0
17:35:37.275 > 205000,0
17:35:37.275 > 205000,0
17:35:37.291 > 205000,0
