19:20:49.557 > 
19:20:49.558 > Brownout detector was tri␏␀=␀�␀�␀ɕ�5Rj��ets Jul 29 2019 12:21:46
19:20:50.504 > 
19:20:50.504 > rst:0x10 (RTCWDT_RTC_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
19:20:50.524 > configsip: 0, SPIWP:0xee
19:20:50.524 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
19:20:50.524 > mode:DIO, clock div:2
19:20:50.524 > load:0x3fff0030,len:1184
19:20:50.524 > load:0x40078000,len:12776
19:20:50.524 > load:0x40080400,len:3032
19:20:50.524 > entry 0x400805e4
19:20:59.267 > 205112,-36
19:20:59.267 > 205112,-36
19:20:59.283 > 205112,-36
19:20:59.283 > 205088,-36
19:20:59.299 > 205088,-36
19:20:59.314 > 205088,-36
19:20:59.315 > 205088,-36
19:20:59.330 > 205088,-36
19:20:59.346 > 205088,-36
19:20:59.347 > 205088,-36
19:20:59.362 > 205088,-36
19:20:59.363 > 205088,-36
19:20:59.379 > 205088,-36
19:20:59.395 > 205099,-11
19:20:59.395 > 205099,-11
19:20:59.411 > 205099,-11
19:20:59.427 > 205099,-11
19:20:59.427 > 205099,-11
19:20:59.443 > 205099,-11
19:20:59.444 > 205099,-11
19:20:59.459 > 205099,-11
19:20:59.475 > 205092,-11
19:20:59.475 > 205092,-11
19:20:59.491 > 205092,-11
19:20:59.507 > 205092,-11
19:20:59.507 > 205092,-11
19:20:59.523 > 205092,-11
19:20:59.523 > 205092,-11
19:20:59.539 > 205092,-11
19:20:59.555 > 205092,-11
19:20:59.556 > 205092,-11
19:20:59.571 > 205116,-24
